date,likes,text,label
Mon Sep 30 12:24:19 +0000 2024,0,Apa cuma gw yang ngerasa krl makin padet Praduga tak bersalah gw mengatakan banyak yang akhirnya gak bawa kendaraan dan beralih ke transportasi umum krn penarikan subsidi bensin oleh pemerintah dan tambahan gosip resesi,netral
Mon Sep 30 11:31:00 +0000 2024,2,Wacana penerapan subsidi tarif KRL berdasarkan Nomor Induk Kependudukan atau NIK bergulir di masyarakat Sebenarnya bagaimana tarif yang berlaku saat ini bagi sebagian pengguna Baca beritanya di sini,netral
Sun Sep 29 15:26:36 +0000 2024,0,Subsidi KRL Dipersempit Berdasarkan NIK Warga Kian Terjepit,negatif
Sun Sep 29 12:50:51 +0000 2024,0,Saya yakin sih tidak akan seperti analisi pak Trubus ini subsidi KRL kan sudah ada sebelum kementerian BUMN itu ada lagi pula memang subsidi harus diberikan oleh kementerian badan enggak bisa sepanjang anggarannya ada di APBN PSO masih bakal jalan,netral
Sun Sep 29 12:33:14 +0000 2024,25,Kementerian BUMN mau diubah jadi Badan pengamat sebut PSO terancam dihapus hal ini pun bisa mendongkrak harga tiket KRL hingga BBM subsidi,netral
Sun Sep 29 04:25:04 +0000 2024,0,Tarif KRL Jabodetabek Lebak di ambang kenaikan Wacana penerapan subsidi tarif KRL berdasarkan NIK terus bergulir,netral
Sat Sep 28 18:56:33 +0000 2024,0,Abisin duit banyak buat gini ga mikir subsidi krl yg ga sampe sepersepuluh aja kayanya ga rela banget,negatif
Sat Sep 28 17:02:06 +0000 2024,1,Wacana pungutan ga jelas di gaji tapera iuran pensiun pajak natura ga jls beut lalu nnti jg wajib asuransi mbl dll subsidi KRL mau dicut,negatif
Sat Sep 28 14:28:04 +0000 2024,0,Kl saya sbgai karyawan terasa dr wacana potongan extra semacam tapera iuran pensiun asuransi wajib dll blm lg wacana pemotongan subsidi KRL smua krn pemerintah butuh uang unt program mercusuar yg ga jls sdangkan rasio hutang sdh tinggi tp GDP stuck,negatif
Sat Sep 28 11:57:26 +0000 2024,0,Namun Kebijakan ini dinilai mengesampingkan masalah penting lainnya dalam transportasi KRL Dalam banyak narasi public lebih menginginkan perbaikan layanan di stasiun dan penambahan jumlah kereta daripada penerapan subsidi berbasis NIK,netral
Sat Sep 28 11:57:25 +0000 2024,0,Pemerintah Indonesia berencana mengubah skema subsidi KRL Jabodetabek menjadi berbasis Nomor Induk Kependudukan NIK mulai tahun Tujuan dari perubahan skema subsidi ini adalah agar subsidi yang diberikan lebih tepat sasaran,netral
Sat Sep 28 10:23:49 +0000 2024,0,Case yg paling baru itu subsidi tarif KRL berbasis NIK mayoritas pengguna KRL itu pekerja kelas menengah Udah ga dapet bantuan sosial juga ga dapet subsidi kendaraan listrik yg dinikmati orang menengah keatas yg beli mobil listrik sebagai mobil ke bahkan ke di garasinya,negatif
Sat Sep 28 00:06:36 +0000 2024,2,Contohnya pembangunan infrastruktur proyek merugi seperti KRL Jadi pemerintah harus subsidi berapa milyar tapi yg didapat adalah berapa trilyun karena perputaran uang di Jakarta itu sangat cepat Logikanya hanya membuang berapa persen dari puluhan persen keuntungan yg didapat,netral
Fri Sep 27 09:38:01 +0000 2024,1,Setelah mengalami peningkatan dari hingga subsidi KRL pada akan turun menjadi Rp triliun Ini tak hanya soal tarif tapi penghargaan bagi mereka yang memilih transportasi publik untuk mengurangi kemacetan dan polusi serta komitmen bersama untuk menciptakan,netral
Thu Sep 26 11:27:11 +0000 2024,0,Yang keren dari program tranportasi gratis ini adalah yang bukan KTP Jakarta tetep bisa merasakan manfaatnya loh Sedangkan yang ono malah pengen ngubekngubek subsidi KRL Padahal KRL itu satusatunya transportasi paling murah buat non jakartans kemana,negatif
Wed Sep 25 03:09:11 +0000 2024,0,pembangunan ugalan patokannya apaklo untungrugi sih sampai kiamat pun ga bakal ada pembangunan klo gitumau itu tol transportasi bandara dlljangan di kira LRT MRT KRL Busway untungklo ga di subsidi sih udah bangkrut semua ituwkwkwkwk,negatif
Tue Sep 24 12:53:34 +0000 2024,5,Dinner malam bareng keluarga langsung kuliah singkat ngebahas progam tapera kenaikan ppn dan subsidi krl berbasis nik,netral
Tue Sep 24 03:12:44 +0000 2024,0,Setuju Kak Rencana pemerintah untuk mengurangi subsidi yang merupakan transportasi publik sungguh tidak adil bagi masyarakat Subsidi total PSO kepada KAI yang kurang dari T termasuk T untuk KRL Jabodetabek jauh lebih kecil dibandingkan ratusan,negatif
Mon Sep 16 14:05:03 +0000 2024,0,Nah itu gunanya subsidi KA commuter dikurangin Perlu dicek ktp nya pada saat naik krl Keliatan semuanya orang kaya tuh yg pada naik KRL Cerdas banget ah pemerintahnya salut,positif
Mon Sep 16 12:59:35 +0000 2024,0,Kebijakan serampangan wkwkwk Contoh lain bukannya membenahi angkutan umum malah sok subsidi kendaraan listrik yaa contohnya PT KAI kena Track Access Charge TAC yg lebih ga masuk akal dan jd salah satu alasan tiket semakin aduhai tinggi harganya Blm lagi isu tarif KRL,negatif
