date,likes,text,label
Mon Sep 30 12:24:19 +0000 2024,0,ngerasa krl makin padet praduga salah kata banyak akhir bawa kendara alih transportasi umum tari subsidi bensin perintah tambah gosip resesi,netral
Mon Sep 30 11:31:00 +0000 2024,2,wacana terap subsidi tarif krl dasar nomor induk duduk nik gulir masyarakat benar bagaimana tarif laku bagi guna baca berita,netral
Sun Sep 29 15:26:36 +0000 2024,0,subsidi krl sempit dasar nik warga kian jepit,negatif
Sun Sep 29 12:50:51 +0000 2024,0,yakin analis trubus subsidi krl menteri bumn memang subsidi beri menteri badan panjang anggar apbn pso bakal jalan,netral
Sun Sep 29 12:33:14 +0000 2024,25,menteri bumn mau ubah badan amat sebut pso ancam hapus dongkrak harga tiket krl hingga bbm subsidi,netral
Sun Sep 29 04:25:04 +0000 2024,0,tarif krl jabodetabek lebak ambang naik wacana terap subsidi tarif krl dasar nik gulir,netral
Sat Sep 28 18:56:33 +0000 2024,0,abisin duit banyak buat gin mikir subsidi krl sampe puluh kaya rela banget,negatif
Sat Sep 28 17:02:06 +0000 2024,1,wacana pungut jelas gaji tapera iur pensiun pajak natura jelas banget wajib asuransi mobil subsidi krl mau cut,negatif
Sat Sep 28 14:28:04 +0000 2024,0,karyawan asa wacana potong extra macam tapera iur pensiun asuransi wajib wacana potong subsidi krl semua perintah butuh uang program mercusuar jelas rasio hutang tinggi gdp stuck,negatif
Sat Sep 28 11:57:26 +0000 2024,0,bijak nilai samping masalah penting lain transportasi krl banyak narasi public lebih ingin baik layan stasiun tambah jumlah kereta terap subsidi bas nik,netral
Sat Sep 28 11:57:25 +0000 2024,0,perintah indonesia rencana ubah skema subsidi krl jabodetabek jadi bas nomor induk duduk nik mulai tahun tuju ubah skema subsidi subsidi beri lebih tepat sasar,netral
Sat Sep 28 10:23:49 +0000 2024,0,case paling baru subsidi tarif krl bas nik mayoritas guna krl kerja kelas tengah udah bantu sosial subsidi kendara listrik nikmat orang tengah atas beli mobil listrik mobil bahkan garasi,negatif
Sat Sep 28 00:06:36 +0000 2024,2,contoh bangun infrastruktur proyek rugi krl perintah subsidi berapa milyar dapat berapa trilyun putar uang jakarta sangat cepat logika buang berapa persen puluh persen untung dapat,netral
Fri Sep 27 09:38:01 +0000 2024,1,alami tingkat hingga subsidi krl turun jadi rp triliun soal tarif harga pilih transportasi publik kurang macet polusi komitmen sama cipta,netral
Thu Sep 26 11:27:11 +0000 2024,0,keren program tranportasi gratis bukan ktp jakarta tetep rasa manfaat ono malah ken ngubekngubek subsidi krl padahal krl satusatunya transportasi paling murah buat non jakartans,negatif
Wed Sep 25 03:09:11 +0000 2024,0,bangun ugalan patok apaklo untungrugi kiamat bakal bangun gitumau tol transportasi bandara dlljangan kira lrt mrt krl busway untungklo subsidi udah bangkrut semua ituwkwkwkwk,negatif
Tue Sep 24 12:53:34 +0000 2024,5,dinner malam bareng keluarga langsung kuliah singkat ngebahas progam tapera naik ppn subsidi krl bas nik,netral
Tue Sep 24 03:12:44 +0000 2024,0,tuju kak rencana perintah kurang subsidi transportasi publik sungguh adil masyarakat subsidi total pso kai kurang t t krl jabodetabek jauh lebih kecil banding ratus,negatif
Mon Sep 16 14:05:03 +0000 2024,0,guna subsidi ka commuter rangin perlu cek ktp naik krl liat semua orang kaya naik krl cerdas banget ah perintah salut,positif
Mon Sep 16 12:59:35 +0000 2024,0,bijak serampang wkwkwk contoh bukan benah angkut umum malah sok subsidi kendara listrik yaa contoh pt kai kena track access charge tac lebih masuk akal salah satu alas tiket makin aduhai tinggi harga isu tarif krl,negatif
Mon Sep 16 08:29:13 +0000 2024,0,video subsidi krl sempit warga kian jepit,netral
Mon Sep 16 05:12:12 +0000 2024,0,batas bbm subsidi naik tarif krl pukul baru daya beli,netral
Sun Sep 15 08:04:34 +0000 2024,0,wacana perintah terap skema subsidi krl jabodetabek bakal ubah bas nomor induk duduk nik pandang tepat,netral
Sun Sep 15 04:43:37 +0000 2024,0,rencana perintah ubah model beri subsidi krl jadi bas nik tuai pro kontra ikut hasil polling detikcom bijak sebut,netral
Sun Sep 15 02:43:23 +0000 2024,0,lahjaklingkotjkrlbahkan bensin subsidi,netral
Sun Sep 15 02:00:41 +0000 2024,0,subsidi krl hapus pindah subsidi pltu tambah buat areng powered ev transpotasi publik pabalieut debat kagak kelar bijak pernah mulai,negatif
Sat Sep 14 13:30:20 +0000 2024,0,smoga subsidi buat krl tetep bahkan tmbah,netral
Sat Sep 14 10:44:18 +0000 2024,2,angkut umum kondisi geografis papua gunung berat damri kenal masyarakat urus bagi besar warga papua anggar angkut rintis pso krl subsidi rp miliar seluruh indonesia,netral
Sat Sep 14 08:53:28 +0000 2024,8,balik mangkas subsidi tiket krl subsidi kereta rel listrik krl bakal kurang tambal sulam anggar akomodasi pos belanja baru perintah prabowo subianto simak lengkap program jelasin jumat pukul wib,netral
Sat Sep 14 07:03:24 +0000 2024,0,subsidi kereta rel listrik krl bakal kurang tambal sulam anggar akomodasi pos belanja baru perintah prabowo subianto simak lengkap program jelasin jumat pukul wib youtube tempodotco spotify jelasin,netral
Sat Sep 14 06:00:27 +0000 2024,0,tau duduk perkara bom ngulik lebih jauh wacana buat kurang subsidi tarif krl emg bener suruh coba dulu orang duduk perintah buat nyobain seharihari naek krl,negatif
Sat Sep 14 04:42:45 +0000 2024,1,semua kaji commuters nanti rencana skema subsidi krl bas nik tunggu arah perintah baru pimpin presiden pilih prabowo subianto source,netral
Sat Sep 14 04:40:51 +0000 2024,5,perintah ketat subsidi bbm subsidi krl bagi orang iur pensiun tambah ppn naik punguran tapera kelas tengah turun kelas baca gt,negatif
Sat Sep 14 00:37:24 +0000 2024,0,krl palembang hasil tahun m nilai subsidi tahun m gimana mau bangun jatim positif untung uras kas negara bilang bangun jawa sentris,netral
Fri Sep 13 23:29:39 +0000 2024,0,awokawokawok menteri nambah subsidi krl rangin,negatif
Fri Sep 13 23:28:55 +0000 2024,2,wkwkwk iyaa menteri nambah subsidi krl rangin,negatif
Fri Sep 13 23:28:05 +0000 2024,0,hati hati menteri nambah subsidi krl rangin,negatif
Fri Sep 13 16:28:11 +0000 2024,10,perintah terap skema subsidi kereta rel listrik krl bas nomor induk duduk tarif kereta kelas tengah atas bakal lejit fufufafa,netral
Fri Sep 13 16:14:44 +0000 2024,0,wajar masalah sistemik sengaja pelihara imbas wenang kuasa buat atur jauh sejahtera rakyat contoh mobil listrik beri subsidi bbm subsidi manfaat orang tengah atas krl pakai nik,negatif
Fri Sep 13 15:30:18 +0000 2024,0,ada untung timpa rakyat jelata presiden pilih prabowo baik sikap lindung rakyat cinta rakyat makin tenggelam masuk lembah miskin akbt subsidi tarif krl jabodetabek bas nik,netral
Fri Sep 13 15:06:08 +0000 2024,0,cari jalan mudah batas subsidi tarif krl jabodetabek limpah tumpang naik tarif kepala oleh m hari jumlah signifikan kas pt kai koyak akibat utang jumbo putus bikin manusia miskin tambah signifikan jabotabek,negatif
Fri Sep 13 14:58:57 +0000 2024,0,perintah rencana ubah subsidi krl jadi bas nik tarif normal krl subsidi capai rp km simak jelas,netral
Fri Sep 13 14:30:00 +0000 2024,0,perintah terap skema subsidi kereta rel listrik krl bas nomor induk duduk tarif kereta kelas tengah atas bakal lejit simak lengkap program jelasin jumat pukul wib youtube tempodotco spotify jelasin,netral
Fri Sep 13 12:49:46 +0000 2024,8,siapsiap tarif krl bakal naik perintah terap skema subsidi kereta rel listrik krl bas nomor induk duduk tarif kereta kelas tengah atas bakal lejit simak lengkap program jelasin jumat pukul wib,netral
Fri Sep 13 12:37:26 +0000 2024,0,tapera dana pensiun ppn naik pajak bangun rumah pajak kurang kaya paling motong subsidi krl bbm ad bakal berita mainstream kaya ni pajak lanjut mantap emang,negatif
Fri Sep 13 11:56:00 +0000 2024,0,perintah rencana ubah subsidi krl jadi bas nik memang berapa tarif normal krl subsidi,netral
Fri Sep 13 11:02:38 +0000 2024,0,klo perintah emang niat batas subsidi bbm tinggal bikin bijak daftar nik bukan dipake justru dipake krl transportasi umum murah riah rakyat jelata kendara pribadi lebih untung akhir makin macet kota,negatif
Fri Sep 13 10:57:57 +0000 2024,0,perintah rencana ubah subsidi krl jabodetabek bas nik amat nilai hemat anggar potensi timbul cemburu sosial,netral
Fri Sep 13 10:09:21 +0000 2024,0,perintah rencana ubah subsidi krl bas nik tepat sasar detikers tuju isi pollingnya artikel,netral
Fri Sep 13 08:49:06 +0000 2024,0,subsidi pindah situ udah rame guna tinggal cabut subsidi kayak krl sekarang,netral
Fri Sep 13 08:28:22 +0000 2024,1,fun fact dana pensiun bakal keluarin subsidi krl pangkas dana dipindahin buat bayar seluruh menteri no care kerja gimana,negatif
Wed Sep 11 03:47:05 +0000 2024,0,subsidi krl bas nik wacana kelas tengah derita,negatif
Wed Sep 11 01:46:15 +0000 2024,1,esai rama permana ingat soal dampak insentif beli kendara gerak relatif liar tengah rencana sesuai subsidi krl nik insentif sebut belenggu solusi mobilitas jangka panjang taut,netral
Wed Sep 11 00:00:13 +0000 2024,0,subsidi krl dasar nik tetep lanjut,netral
Tue Sep 10 21:53:52 +0000 2024,0,perhatiin akhir krl makin sering skip jadwal maksud mau trailer mangkas subsidi gimana orang berangkat kerja pakai transum ingin punctuality estimasi mobilitynya kaya gin mediocre workers telat mulu,negatif
Tue Sep 10 16:09:39 +0000 2024,0,dik tiongkok besok mau poin utang kcic lunas buat nambah subsidi krl,netral
Tue Sep 10 11:52:51 +0000 2024,0,p perintah minimal mau motong subsidi krl benerin dulu kualitas krlnya anjeng luasin kek kek serah kontol capek pulang halang rush hour mulu,negatif
Tue Sep 10 11:24:47 +0000 2024,0,subsidi krl pangkas benar biang kerok,negatif
Tue Sep 10 11:10:57 +0000 2024,0,krl makin malam armada makin kurang kata perintah sibuk mikirin harga krl subsidi dasar nik paling bener tambahin armada konsisten maksimal menit sekali menit at night is too long for people to wait,negatif
Tue Sep 10 08:56:14 +0000 2024,0,perhatiin akhir krl makin sering skip jadwal maksud mau trailer mangkas subsidi gimana orang berangkat kerja pakai transum ingin punctuality estimasi mobilitynya kaya gin mediocre workers telat mulu,negatif
Tue Sep 10 08:49:18 +0000 2024,0,komisi v ragu subsidi krl bas nik tahu alas,netral
Tue Sep 10 08:29:00 +0000 2024,0,sekarang siap atur baru kait subsidi tepat sasar paham mau capai mau kurang guna krl warga non dki overcrowded beneran paham,negatif
Tue Sep 10 08:05:40 +0000 2024,0,sindoscope gaduh subsidi krl bas nik,netral
Tue Sep 10 06:52:33 +0000 2024,0,wacana subsidi krl bas nik bakal tambah beban kelas tengah,negatif
Tue Sep 10 06:26:53 +0000 2024,130,banyak kelas tengah jatuh miskin politis pks desak perintah tahan subsidi bbm tahan subsidi bbm tarif krl ringan beban keluar hari jaga daya beli masyarakat,netral
Tue Sep 10 06:14:25 +0000 2024,38,anyway tetap kawal berita ges tolak subsidi krl bas nik,negatif
Tue Sep 10 05:35:17 +0000 2024,0,hari tua lansia tanggung jawab negara hak jamin negara usah cari alas ambil uang rakyat pajak tinggi bbm tarik subsidi ongkos krl mau naik harga tol naik koruptor mau negara puas,negatif
Tue Sep 10 05:07:10 +0000 2024,26,kelas tengah makin sulit depan pasu tetap keluar tingkat batas bbm subsidi sistem nik subsidi krl pajakpajak makin naik wajib potong bijak pensiun baru bpjs sehat tk wajib lain smangaat,negatif
Tue Sep 10 04:46:36 +0000 2024,0,nilai wacana subsidi krl guna nik aneh said didu subsidi transportasi beda subsidi barang konsumsi,netral
Tue Sep 10 04:20:40 +0000 2024,1,wacana sesuai tarif krl commuter line jabodetabek muka perintah ubah skema subsidi krl jadi bas nomor induk duduk nik wacana undang kritik tarif bakal naik kalang tentu padahal daya beli,netral
Tue Sep 10 03:39:34 +0000 2024,0,banyak kelas tengah jatuh miskin politis pks desak perintah tahan subsidi bbm politis pks desak perintah tahan subsidi bahan bakar minyak bbm tarif kereta rel listrik krl ringan pks bela rakyat,netral
Mon Sep 09 01:11:50 +0000 2024,1,parah anyinhhh malah ngadi mau bikin subsidi krl based on nik kek gitu,negatif
Mon Sep 09 00:38:31 +0000 2024,1,urusin subsidi lebih urgent nambahin rangkai tiap pagi kayak ayam geprek naik krl,negatif
Mon Sep 09 00:36:09 +0000 2024,0,yup ideal alih subsidi transum sini malah subsidi krl mau rang sungguh aneh negara,negatif
Mon Sep 09 00:27:28 +0000 2024,1,bukan nik solusi tetap tarif krl jabodetabek usul pakar itb tekan subsidi perintah,netral
Sun Sep 08 15:06:34 +0000 2024,0,anker bikin aksi masa tolak subsidi krl bas nik,negatif
Sun Sep 08 11:18:43 +0000 2024,0,wacana sesuai tarif krl commuter line jabodetabek muka perintah ubah skema subsidi krl jadi bas nomor induk duduk nik wacana undang kritik tarif bakal naik kalang tentu padahal daya beli,netral
Sun Sep 08 09:43:52 +0000 2024,1,kek semenjak protes golong subsidi krl,netral
Sun Sep 08 09:41:11 +0000 2024,1,beban lihat kcic proyek mercusuar beban kai sekarang lihat muncul ide tolol tarif krl jabodetabek bas nik ide ngurangin subsidi bayar utang,negatif
Sun Sep 08 09:15:08 +0000 2024,1,minggu yak yuk simak drone izin terbang konser green day as personil kabur backstage lyodra tampil nyanyi misa akbar paus fransiskus gbk wacana subsidi krl jabodetabek dasar nik guna krl protes,negatif
Sun Sep 08 07:35:15 +0000 2024,3,beli permen mknan dipajakin usaha resto dipajakin makan tempat dipajakin bom progresif kntl orang kaya dksh subsidi kndran listrik pajak ratus kalah nmax krl junjung tinggi tara mlh mao dinaekin rakyat djadiin komoditas konohankntl,negatif
Sun Sep 08 07:31:00 +0000 2024,0,wacana subsidi krl bas nik kai commuter siap ikut bijak perintah,netral
